Question,Answer
What punishment is prescribed under Section 282?,"Imprisonment up to 6 months, or fine up to â¹1,000, or both."
Is the offence cognizable?,"Yes, it is cognizable."
What offence is defined under Section 283 IPC?,Causing danger or obstruction on a public way or navigation.
What is the punishment under Section 283?,Fine up to â¹200.
Who can try this offence?,Any Magistrate.
What does Section 284 IPC penalize?,Rash or negligent use or storage of poisonous substances.
What punishment is given under Section 284?,"Imprisonment up to 6 months, or fine up to â¹1,000, or both."
What is criminalized in Section 285 IPC?,Negligent handling or failure to control fire or combustible matter.
What is the classification of offence?,"Cognizable, bailable, non-compoundable."
What does Section 286 of IPC cover?,Rash/negligent acts or omissions involving explosives that endanger life.
What is the punishment?,"Up to 6 months of imprisonment or fine up to â¹1,000, or both."
What is the offence under Section 287 IPC?,Rash or negligent conduct involving machinery.
What is the maximum punishment?,"6 months imprisonment or fine of â¹1,000 or both."
What does Section 288 of IPC deal with?,Negligence in demolishing or repairing buildings likely to cause danger.
What punishment does it prescribe?,"Imprisonment up to 6 months or fine up to â¹1,000, or both."
What is criminalized under Section 289 IPC?,Negligent control of animals likely to cause injury or danger.
What is the penalty?,"Up to 6 months imprisonment or fine up to â¹1,000 or both."
What does Section 290 provide for?,It prescribes punishment for public nuisance not covered in other laws.
What is the penalty?,Fine up to â¹200.
What offence does Section 291 IPC define?,Continuing public nuisance after receiving legal injunction to stop it.
What is the punishment under this section?,"Imprisonment up to 6 months, or fine, or both."
Is this offence compoundable?,"No, it is non-compoundable."
What is the nature of offence under Section 287?,Endangering life by negligent use or handling of machinery.
Who is liable?,Anyone using or supervising dangerous machinery.
Punishment?,Imprisonment up to 6 months or fine or both.
What does Section 290 cover?,Public nuisance cases not specifically covered elsewhere in IPC.
What is the punishment?,Fine up to â¹200.
What act is criminalized under Section 291?,Continuing a nuisance after a lawful public order to stop.
What is the punishment?,"Simple imprisonment up to 6 months, or fine, or both."
Is this offence bailable?,Yes.
What is Section 411 of the Indian Penal Code about?,It pertains to dishonestly receiving or retaining stolen property.
What is the punishment for dishonestly receiving stolen property under Section 411?,"Imprisonment up to 3 years, or fine, or both."
What is the classification of the offence under Section 411?,"Cognizable, non-bailable, triable by any magistrate, and compoundable by the owner with court permission."
What is the Tamil Nadu amendment to Section 411?,Receiving or retaining stolen idols/icons from places of worship is punishable with a minimum of two years' rigorous imprisonment and a fine of at least two thousand rupees.
What does Section 412 of IPC deal with?,Dishonestly receiving property stolen during the commission of a dacoity.
What is the punishment under Section 412?,"Imprisonment for life, or rigorous imprisonment up to 10 years, and fine."
What is Section 413 about?,It addresses habitual dealing in stolen property.
What is the punishment for habitual dealing in stolen property under Section 413?,Imprisonment for life or up to 10 years and fine.
What is described under Section 414?,Assisting in the concealment of stolen property.
What punishment is given for assisting in concealment of stolen property?,"Imprisonment up to 3 years, or fine, or both."
What does Section 415 define?,Cheating.
What constitutes cheating under Section 415?,Deceiving a person to fraudulently or dishonestly induce delivery of property or consent to retain property.
What is Section 416 about?,It defines cheating by personation.
What punishment does Section 417 prescribe?,"Imprisonment up to 1 year, or fine, or both."
What is the difference between Section 417 and Section 419?,Section 417 covers general cheating; Section 419 specifically penalizes cheating by personation.
What is the punishment for cheating by personation under Section 419?,"Imprisonment up to 3 years, or fine, or both."
What does Section 418 relate to?,Cheating with knowledge that wrongful loss may ensue to a person whose interest the offender is bound to protect.
What is Section 419âs classification of offence?,"Cognizable, bailable, triable by any magistrate, and non-compoundable."
What is covered in Section 420 of IPC?,Cheating and dishonestly inducing delivery of property.
What is the punishment for the offence under Section 420?,Imprisonment up to 7 years and fine.
What does Section 421 of the IPC define?,Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors.
What is the punishment under Section 421?,"Imprisonment up to 2 years, or fine, or both."
Who can compound the offence under Section 421?,"The creditor affected, with the court's permission."
What does Section 422 criminalize?,Dishonestly or fraudulently preventing a debt from being available for creditors.
What is the penalty under Section 422?,"Imprisonment up to 2 years, or fine, or both."
What offence is defined in Section 423?,Dishonest or fraudulent execution of a deed of transfer with false statement of consideration.
What is the punishment for offences under Section 423?,"Imprisonment up to 2 years, or fine, or both."
What does Section 424 of IPC deal with?,Dishonest or fraudulent removal or concealment of property.
